BldgType,GrLivArea,TotalBsmtSF,OverallQual,GarageCars,GarageArea,Neighborhood,YearBuilt,YearRemodAdd,YrSold,SaleType,SaleCondition,TotRmsAbvGrd,FullBath,@1stFlrSF,@2ndFlrSF,SalePrice,Foundation
Single Family Residential,816,816,5,1,264,Mitchel,1982,2008,2008,WD,Normal,5,1,816,0,130500,CBlock
Single Family Residential,816,816,5,2,816,Mitchel,1982,2003,2008,WD,Normal,4,1,816,0,138000,PConc
Single Family Residential,845,845,5,1,264,Mitchel,1982,2005,2008,WD,Normal,6,1,845,0,134500,CBlock
Single Family Residential,1750,983,6,1,423,Mitchel,1940,1985,2008,WD,Normal,7,2,983,767,160000,CBlock
Single Family Residential,889,864,5,2,484,Mitchel,1984,1984,2008,WD,Normal,6,1,889,0,137500,CBlock
Single Family Residential,1968,784,5,2,530,Mitchel,1969,1969,2008,WD,Normal,7,2,1168,800,172000,CBlock
Single Family Residential,1836,686,5,1,288,IDOTRR,1900,1950,2008,WD,Normal,7,2,1150,686,103000,BrkTil
Single Family Residential,1587,1587,6,2,525,NAmes,1971,1971,2007,WD,Normal,7,2,1587,0,167300,CBlock
Single Family Residential,1277,1277,7,2,526,NAmes,1970,1970,2007,WD,Normal,5,1,1277,0,167000,CBlock
Single Family Residential,2223,2223,7,2,516,NAmes,1973,1973,2007,WD,Normal,8,2,2223,0,244000,CBlock
Single Family Residential,2217,2217,8,2,621,NAmes,1970,1970,2007,WD,Normal,8,2,2217,0,268000,PConc
Single Family Residential,1733,847,7,2,433,Gilbert,2003,2003,2007,WD,Family,7,2,847,886,225000,PConc
Single Family Residential,1572,806,6,2,373,Gilbert,1995,1996,2007,WD,Normal,7,2,806,766,168000,PConc
Single Family Residential,1470,794,6,2,388,Gilbert,1997,1997,2007,WD,Normal,6,2,794,676,177000,PConc
Single Family Residential,1600,916,6,2,460,Gilbert,1997,1997,2007,WD,Normal,7,2,916,684,169000,PConc
Single Family Residential,1384,384,6,2,390,Gilbert,1997,1997,2007,WD,Normal,7,2,754,630,161500,PConc
Townhouse End Unit,1652,1494,8,2,499,StoneBr,2000,2000,2007,WD,Normal,6,2,1652,0,251000,PConc
Single Family Residential,1694,392,6,2,398,Gilbert,1994,1994,2007,WD,Normal,7,2,924,770,160000,PConc
Single Family Residential,1714,923,6,2,451,Gilbert,1999,2000,2007,WD,Abnorml,7,2,947,767,180000,PConc
Single Family Residential,1553,691,7,2,420,Gilbert,1996,1996,2007,WD,Normal,6,2,691,862,178750,PConc
Single Family Residential,1253,1237,7,2,402,Gilbert,1995,1996,2007,WD,Normal,6,2,1253,0,176000,PConc
Single Family Residential,2299,938,6,2,482,Gilbert,1999,2003,2007,WD,Normal,7,3,957,1342,204000,PConc
Single Family Residential,1187,1168,7,2,420,Gilbert,1992,1993,2007,WD,Normal,6,2,1187,0,160000,PConc
Single Family Residential,1472,384,7,2,402,Gilbert,1991,1992,2007,WD,Normal,7,2,802,670,160000,PConc
Single Family Residential,1482,384,7,2,392,Gilbert,1992,1992,2007,WD,Normal,7,2,812,670,163900,PConc
Single Family Residential,1642,903,6,2,392,Gilbert,1993,1994,2007,WD,Normal,7,2,910,732,168000,PConc
Single Family Residential,1128,1302,6,2,480,Gilbert,1964,1964,2007,WD,Alloca,6,1,1128,0,154204,CBlock
Townhouse End Unit,1088,1074,8,2,461,StoneBr,1986,1986,2007,WD,Normal,5,1,1088,0,170000,CBlock
Townhouse End Unit,2090,1190,7,2,577,StoneBr,1984,1984,2007,WD,Normal,6,2,1190,900,207500,CBlock
Townhouse End Unit,1179,1166,8,2,480,StoneBr,1988,1988,2007,WD,Normal,5,2,1179,0,182000,CBlock
Townhouse End Unit,1321,1312,8,2,484,StoneBr,1990,1990,2007,WD,Normal,4,1,1321,0,212000,PConc
Single Family Residential,1922,1922,9,3,676,StoneBr,2005,2006,2007,WD,Normal,8,2,1922,0,377426,PConc
Single Family Residential,2541,1149,8,3,729,StoneBr,2005,2005,2007,WD,Normal,10,3,1164,1377,349265,PConc
Single Family Residential,2338,2660,9,3,1110,StoneBr,2006,2007,2007,New,Partial,8,2,2338,0,591587,PConc
Two Family Conversion,1424,1100,5,3,828,Gilbert,1969,1990,2007,WD,Normal,7,1,1424,0,155000,CBlock
Townhouse End Unit,1612,1612,9,2,556,StoneBr,2006,2006,2007,WD,Normal,6,2,1612,0,319900,PConc
Single Family Residential,1419,1419,8,2,567,StoneBr,2007,2007,2007,New,Partial,7,2,1419,0,392000,PConc
Single Family Residential,2234,2220,8,2,724,StoneBr,2006,2006,2007,WD,Normal,7,1,2234,0,441929,PConc
Single Family Residential,2042,1742,10,3,724,StoneBr,2006,2007,2007,New,Partial,8,2,2042,0,455000,PConc
Single Family Residential,1440,1440,6,2,467,NWAmes,1981,1981,2007,WD,Normal,7,2,1440,0,182900,CBlock
Single Family Residential,1284,1284,6,2,480,NWAmes,1984,1984,2007,COD,Abnorml,5,2,1284,0,174000,CBlock
Single Family Residential,1868,585,6,2,477,NWAmes,1984,2003,2007,WD,Abnorml,7,3,1140,728,178000,CBlock
Single Family Residential,1479,725,7,2,484,NWAmes,1981,2003,2007,WD,Normal,6,2,725,754,176000,CBlock
Single Family Residential,1664,1529,7,2,663,NWAmes,1978,1985,2007,WD,Normal,7,2,1664,0,213000,CBlock
Single Family Residential,1930,780,7,2,481,NWAmes,1979,1979,2007,WD,Normal,9,2,1085,845,192000,CBlock
Single Family Residential,1969,808,7,2,534,NWAmes,1977,1977,2007,WD,Normal,8,2,1161,808,190000,CBlock
Single Family Residential,2030,848,6,2,551,NWAmes,1976,1976,2007,WD,Normal,8,2,1118,912,195000,CBlock
Single Family Residential,1032,1032,6,2,564,NWAmes,1978,1978,2007,WD,Normal,6,2,1032,0,148000,CBlock
Single Family Residential,1177,1153,6,2,495,NWAmes,1984,1984,2007,WD,Normal,6,2,1177,0,151500,CBlock
Single Family Residential,1725,539,7,2,550,NWAmes,1979,1979,2007,WD,Normal,6,2,1040,685,197000,CBlock
Single Family Residential,1353,1259,6,2,478,NWAmes,1979,1999,2007,WD,Normal,5,2,1353,0,192350,CBlock
Single Family Residential,1620,780,5,2,462,NWAmes,1969,1969,2007,WD,Normal,7,2,780,840,152000,CBlock
Single Family Residential,1220,1625,6,2,944,NWAmes,1971,1971,2007,WD,Normal,6,2,1220,0,170000,CBlock
Single Family Residential,1484,1484,5,2,487,NWAmes,1971,1971,2007,WD,Normal,7,2,1484,0,175000,CBlock
Single Family Residential,1743,702,6,2,539,NWAmes,1968,1968,2007,WD,Normal,7,1,1041,702,175000,CBlock
Single Family Residential,1935,793,7,2,550,NWAmes,1976,1976,2007,WD,Normal,7,2,1142,793,197900,CBlock
Single Family Residential,1324,1228,7,2,585,NWAmes,1976,1976,2007,WD,Normal,5,2,1324,0,174000,CBlock
Single Family Residential,1877,1084,6,2,488,NWAmes,1974,1974,2007,WD,Normal,8,2,1084,793,178900,CBlock
Single Family Residential,1109,372,5,1,288,NAmes,1971,2005,2007,WD,Normal,5,1,576,533,139000,CBlock
Single Family Residential,981,981,6,2,576,NAmes,1971,1971,2007,WD,Normal,5,1,981,0,143250,CBlock
Single Family Residential,1479,725,7,2,484,NAmes,1972,2004,2007,WD,Normal,7,1,725,754,184000,CBlock
Single Family Residential,1422,925,5,2,576,NAmes,1970,1990,2007,WD,Normal,7,1,1422,0,155000,CBlock
Single Family Residential,914,914,5,1,368,NAmes,1970,2002,2007,WD,Normal,5,1,914,0,133000,CBlock
Single Family Residential,950,950,5,1,280,NAmes,1971,1971,2007,WD,Normal,5,1,950,0,119500,CBlock
Single Family Residential,872,858,4,4,480,NAmes,1971,1971,2007,WD,Normal,5,1,872,0,123000,CBlock
Single Family Residential,858,858,4,1,684,NAmes,1971,1971,2007,WD,Normal,4,1,858,0,110000,CBlock
Single Family Residential,914,914,4,1,270,NAmes,1961,1961,2007,WD,Normal,4,1,914,0,128000,BrkTil
Single Family Residential,864,864,4,2,528,NAmes,1971,1971,2007,WD,Normal,5,1,864,0,120500,PConc
Townhouse End Unit,767,723,7,1,367,NAmes,1998,1998,2007,WD,Normal,4,1,767,0,133000,PConc
Townhouse End Unit,1337,1337,6,2,511,NAmes,2001,2001,2007,WD,Normal,5,2,1337,0,155000,PConc
Townhouse End Unit,1337,1405,6,2,522,NAmes,1997,1998,2007,WD,Normal,5,2,1337,0,177000,PConc
Twnhs,1092,525,6,1,264,BrDale,1973,1973,2007,WD,Normal,6,1,525,567,113500,CBlock
Twnhs,1218,672,6,1,264,BrDale,1973,1973,2007,WD,Normal,7,1,672,546,113000,CBlock
Twnhs,1218,672,6,1,264,BrDale,1973,1973,2007,WD,Normal,7,1,672,546,113700,CBlock
Townhouse End Unit,1302,630,5,2,440,BrDale,1970,1970,2007,WD,Normal,6,2,630,672,106000,CBlock
Townhouse End Unit,1365,765,5,2,440,BrDale,1971,1971,2007,WD,Normal,6,1,765,600,122500,CBlock
Townhouse End Unit,958,1078,6,2,440,NPkVill,1976,1976,2007,WD,Normal,5,2,958,0,128000,CBlock
Townhouse End Unit,1548,804,6,2,440,NPkVill,1976,1976,2007,WD,Normal,7,2,804,744,155000,CBlock
Twnhs,1055,1061,7,1,319,NPkVill,1978,1978,2007,WD,Normal,4,2,1055,0,142500,CBlock
Single Family Residential,988,988,5,1,360,NAmes,1966,1966,2007,WD,Normal,5,1,988,0,129250,CBlock
Single Family Residential,1816,1790,9,3,730,NridgHt,2006,2007,2007,New,Partial,7,2,1816,0,356000,PConc
Single Family Residential,1828,1822,9,3,774,NridgHt,2007,2007,2007,New,Partial,9,2,1828,0,314813,PConc
Single Family Residential,1694,1694,8,3,818,NridgHt,2007,2007,2007,New,Partial,7,2,1694,0,318000,PConc
Single Family Residential,1694,1694,8,3,856,NridgHt,2006,2007,2007,New,Partial,7,2,1694,0,322400,PConc
Single Family Residential,1734,1734,8,3,928,NridgHt,2007,2007,2007,New,Partial,7,2,1734,0,318000,PConc
Single Family Residential,2122,2108,8,3,938,NridgHt,2007,2007,2007,New,Partial,7,2,2122,0,345474,PConc
Single Family Residential,2121,2121,9,3,732,NridgHt,2006,2007,2007,New,Partial,8,2,2121,0,415298,PConc
Single Family Residential,2656,1934,9,3,1040,NridgHt,2007,2007,2007,New,Partial,8,2,1943,713,492000,PConc
Single Family Residential,2550,1108,8,3,670,NridgHt,2006,2007,2007,New,Partial,11,2,1148,1402,338931,PConc
Single Family Residential,2046,1994,10,3,878,NridgHt,2005,2006,2007,WD,Normal,7,2,2046,0,450000,PConc
Single Family Residential,2172,1063,7,3,947,NridgHt,2006,2006,2007,New,Partial,9,2,1071,1101,280000,PConc
Single Family Residential,2552,2552,9,3,932,NridgHt,2007,2007,2007,New,Partial,8,2,2552,0,479069,PConc
Single Family Residential,1973,1935,8,3,895,NridgHt,2006,2006,2007,New,Partial,9,2,1973,0,395000,PConc
Single Family Residential,2643,2153,9,3,694,NridgHt,2006,2006,2007,WD,Normal,9,2,2069,574,380000,PConc
Single Family Residential,1634,1626,8,3,866,NridgHt,2006,2006,2007,WD,Normal,7,2,1634,0,250000,PConc
Single Family Residential,1976,1976,8,3,908,NridgHt,2006,2007,2007,New,Partial,7,2,1976,0,440000,PConc
Single Family Residential,2758,1704,9,3,814,NridgHt,2005,2006,2007,WD,Normal,9,2,1722,1036,418000,PConc
Single Family Residential,2290,2320,10,3,1174,NridgHt,2007,2007,2007,New,Partial,7,2,2290,0,500067,PConc
Single Family Residential,2152,1582,8,2,728,NridgHt,2007,2008,2007,New,Partial,7,2,1582,570,260116,PConc
Single Family Residential,2473,1143,8,3,852,NridgHt,2004,2005,2007,WD,Normal,9,2,1143,1330,317000,PConc
Single Family Residential,2100,918,8,3,786,NridgHt,2007,2007,2007,New,Partial,8,2,958,1142,319500,PConc
Single Family Residential,2161,1582,8,3,789,NridgHt,2007,2007,2007,New,Partial,8,1,1610,551,325624,PConc
Single Family Residential,1802,1802,9,3,843,NridgHt,2006,2006,2007,WD,Normal,7,2,1802,0,372000,PConc
Single Family Residential,2956,1706,8,3,916,NridgHt,2004,2004,2007,WD,Normal,11,2,1718,1238,342000,PConc
Single Family Residential,2468,1136,8,3,872,NridgHt,2004,2004,2007,WD,Normal,10,2,1136,1332,354000,PConc
Single Family Residential,2385,1317,8,3,818,NridgHt,2003,2003,2007,WD,Normal,7,2,1217,1168,350000,PConc
Single Family Residential,2374,1181,8,3,656,NridgHt,2003,2004,2007,WD,Normal,10,2,1234,1140,285000,PConc
Single Family Residential,1818,895,8,3,774,NridgHt,2007,2007,2007,New,Partial,8,2,895,923,281500,PConc
Single Family Residential,1614,1614,7,3,878,NridgHt,2005,2006,2007,WD,Normal,7,2,1614,0,245700,PConc
Single Family Residential,1721,1721,8,2,554,NridgHt,2005,2005,2007,WD,Normal,7,2,1721,0,232698,PConc
Single Family Residential,1828,1298,8,3,876,NridgHt,2006,2007,2007,New,Partial,7,2,1298,530,250000,PConc
Townhouse End Unit,1362,1362,6,2,460,NridgHt,2005,2006,2007,WD,Normal,6,2,1362,0,194700,PConc
Twnhs,1302,1302,6,2,631,NridgHt,2005,2006,2007,New,Partial,5,1,1302,0,204000,PConc
Twnhs,1302,1302,6,2,631,NridgHt,2005,2006,2007,WD,Normal,5,1,1302,0,200000,PConc
Townhouse End Unit,1362,1362,6,2,460,NridgHt,2005,2006,2007,WD,Normal,6,2,1362,0,207000,PConc
Twnhs,1554,1554,8,2,627,NridgHt,2006,2006,2007,WD,Normal,6,2,1554,0,209500,PConc
Twnhs,1554,1554,8,2,627,NridgHt,2006,2006,2007,CWD,Normal,6,2,1554,0,209500,PConc
Townhouse End Unit,1370,1370,8,2,484,NridgHt,2006,2006,2007,WD,Normal,6,2,1370,0,202500,PConc
Townhouse End Unit,1577,1577,9,2,564,NridgHt,2005,2005,2007,WD,Normal,6,2,1577,0,280000,PConc
Townhouse End Unit,1561,1561,9,2,556,NridgHt,2005,2005,2007,WD,Normal,6,2,1561,0,277500,PConc
Townhouse End Unit,1869,1869,9,2,617,NridgHt,2007,2007,2007,New,Partial,6,2,1869,0,318061,PConc
Townhouse End Unit,1324,1324,8,2,550,NridgHt,2006,2006,2007,New,Partial,6,2,1324,0,221370,PConc
Townhouse End Unit,1405,1405,7,2,478,NridgHt,2003,2003,2007,WD,Normal,6,2,1405,0,200000,PConc
Single Family Residential,1496,768,6,2,572,Gilbert,2007,2007,2007,New,Partial,7,3,768,728,181755,CBlock
Single Family Residential,1536,768,6,2,400,Gilbert,2005,2006,2007,WD,Normal,6,2,768,768,176000,PConc
Single Family Residential,1484,783,6,2,393,Gilbert,2005,2007,2007,New,Partial,8,2,783,701,178900,PConc
Single Family Residential,1458,608,7,2,454,Gilbert,2006,2007,2007,New,Partial,6,2,608,850,168165,PConc
Single Family Residential,1495,738,6,2,440,Gilbert,2006,2006,2007,New,Partial,7,2,738,757,171925,PConc
Single Family Residential,1746,698,6,3,350,Gilbert,2006,2007,2007,New,Partial,6,2,698,1048,198444,PConc
Single Family Residential,1326,1326,6,2,388,Gilbert,2005,2005,2007,WD,Normal,6,2,1326,0,203000,PConc
Single Family Residential,1456,728,7,2,400,Gilbert,2007,2007,2007,New,Partial,8,2,728,728,179540,PConc
Single Family Residential,1302,1302,7,2,436,Gilbert,2007,2007,2007,New,Partial,6,2,1302,0,176485,PConc
Single Family Residential,1340,1340,7,2,396,Gilbert,2007,2007,2007,New,Partial,6,2,1340,0,181134,PConc
Single Family Residential,1412,616,6,2,432,Gilbert,2006,2007,2007,New,Partial,6,2,616,796,156932,PConc
Single Family Residential,1504,752,6,2,440,Gilbert,2007,2007,2007,New,Partial,6,2,752,752,166000,PConc
Single Family Residential,1456,728,7,2,400,Gilbert,2007,2007,2007,New,Partial,7,2,728,728,177594,PConc
Single Family Residential,1258,1246,7,2,462,Gilbert,2007,2007,2007,New,Partial,6,2,1258,0,173500,PConc
Townhouse End Unit,1258,1258,7,3,648,Blmngtn,2006,2007,2007,New,Partial,6,2,1258,0,172500,PConc
Townhouse End Unit,1402,1258,7,3,648,Blmngtn,2006,2007,2007,New,Partial,7,0,1402,0,194201,PConc
Townhouse End Unit,1589,1406,8,3,630,Blmngtn,2003,2003,2007,WD,Normal,7,2,1589,0,226500,PConc
Single Family Residential,1266,1266,7,2,388,Blmngtn,2007,2007,2007,New,Partial,6,2,1266,0,185485,PConc
Single Family Residential,1530,1530,7,3,630,Gilbert,2004,2004,2007,WD,Family,7,2,1530,0,259000,PConc
Single Family Residential,1119,835,7,2,437,Gilbert,2004,2005,2007,WD,Normal,5,2,1119,0,188500,PConc
Single Family Residential,1374,384,7,2,400,Gilbert,2004,2004,2007,WD,Family,8,2,744,630,175000,PConc
Single Family Residential,1959,847,7,2,434,Gilbert,2004,2005,2007,WD,Normal,8,2,847,1112,215000,PConc
Single Family Residential,1525,1510,7,2,534,Gilbert,2006,2006,2007,New,Partial,6,2,1525,0,206580,PConc
Single Family Residential,1720,840,7,2,440,Gilbert,2004,2004,2007,WD,Normal,7,2,840,880,183500,PConc
Single Family Residential,1394,384,7,2,400,Gilbert,2003,2003,2007,WD,Normal,7,2,754,640,165500,PConc
Single Family Residential,1948,847,7,2,434,Gilbert,2003,2003,2007,WD,Normal,8,2,847,1101,211000,PConc
Single Family Residential,1690,924,6,2,463,Gilbert,2000,2000,2007,WD,Abnorml,7,2,948,742,181000,PConc
Single Family Residential,1995,854,7,2,435,Gilbert,2002,2002,2007,WD,Normal,8,2,864,1131,219500,PConc
Single Family Residential,1647,953,6,2,460,Gilbert,1999,2000,2007,WD,Normal,7,2,953,694,175000,PConc
Single Family Residential,1430,384,7,2,400,Gilbert,2000,2000,2007,WD,Normal,8,2,774,656,170000,PConc
Single Family Residential,1320,660,7,2,400,Gilbert,2003,2003,2007,WD,Normal,6,2,660,660,162000,PConc
Single Family Residential,1690,915,6,2,442,Gilbert,2000,2000,2007,WD,Normal,7,2,940,750,187000,PConc
Single Family Residential,1644,941,6,2,460,Gilbert,1999,2000,2007,WD,Normal,7,2,961,683,185000,PConc
Single Family Residential,4476,2396,10,3,813,NoRidge,1996,1996,2007,WD,Abnorml,10,3,2411,2065,745000,PConc
Single Family Residential,2551,1779,8,3,925,NoRidge,1997,1998,2007,WD,Normal,8,2,1779,772,384500,PConc
Single Family Residential,2285,969,8,3,648,NoRidge,2000,2000,2007,WD,Normal,8,2,997,1288,248000,PConc
Single Family Residential,2633,2633,10,3,804,NoRidge,2001,2002,2007,WD,Normal,8,2,2633,0,466500,PConc
Single Family Residential,3078,1408,9,3,806,NoRidge,1998,1998,2007,WD,Normal,9,2,1671,1407,410000,PConc
Single Family Residential,2582,1389,8,3,758,NoRidge,1998,1999,2007,WD,Normal,9,2,1411,1171,322500,PConc
Single Family Residential,2385,1066,7,3,600,NoRidge,1998,1998,2007,WD,Normal,8,2,1108,1277,252000,PConc
Single Family Residential,4316,2444,10,3,832,NoRidge,1994,1995,2007,WD,Normal,10,3,2444,1872,755000,PConc
Single Family Residential,2013,1117,7,2,455,NoRidge,1996,1997,2007,WD,Normal,8,2,1127,886,269790,PConc
Single Family Residential,2398,1379,7,3,834,NoRidge,1996,1997,2007,WD,Normal,8,2,1383,1015,315750,PConc
Single Family Residential,2520,1203,7,3,721,NoRidge,1995,1995,2007,WD,Abnorml,9,2,1214,1306,290000,PConc
Single Family Residential,2531,1318,8,3,752,NoRidge,1995,1995,2007,WD,Normal,9,2,1328,1203,290000,PConc
Single Family Residential,3228,3200,8,2,546,NoRidge,1992,1993,2007,WD,Normal,10,3,3228,0,430000,PConc
Single Family Residential,2202,1105,8,2,517,NoRidge,1992,1993,2007,WD,Normal,9,2,1105,1097,263000,PConc
Single Family Residential,2538,1325,8,3,933,NoRidge,1996,1997,2007,WD,Normal,8,2,1335,1203,330000,PConc
Single Family Residential,1369,1369,7,2,605,Somerst,2007,2007,2007,New,Partial,5,2,1369,0,213133,PConc
Single Family Residential,1542,1542,8,3,852,Somerst,2007,2007,2007,New,Partial,6,2,1542,0,260261,PConc
Single Family Residential,1905,1905,9,3,788,Somerst,2006,2006,2007,WD,Normal,8,2,1905,0,320000,PConc
Single Family Residential,1464,1485,8,3,754,Somerst,2007,2007,2007,WD,Normal,6,2,1464,0,282922,PConc
Single Family Residential,1534,1524,8,2,484,Somerst,2006,2006,2007,WD,Family,7,2,1534,0,215000,PConc
Single Family Residential,1966,1966,10,3,1092,Somerst,2007,2007,2007,New,Partial,6,2,1966,0,419005,PConc
Single Family Residential,1636,1623,8,3,865,Somerst,2006,2006,2007,WD,Normal,8,2,1636,0,255000,PConc
Single Family Residential,1795,1795,8,3,895,Somerst,2006,2007,2007,New,Partial,7,2,1795,0,147000,PConc
Single Family Residential,1528,1528,7,2,480,Somerst,2007,2007,2007,New,Partial,6,3,1528,0,235876,PConc
Single Family Residential,1726,1726,7,3,786,Somerst,2007,2007,2007,New,Partial,8,2,1726,0,311872,PConc
Single Family Residential,1689,1689,7,3,954,Somerst,2007,2007,2007,New,Partial,7,2,1689,0,248328,PConc
Single Family Residential,1588,1588,8,3,825,Somerst,2006,2006,2007,WD,Normal,7,2,1588,0,227000,PConc
Single Family Residential,1538,1538,8,2,484,Somerst,2005,2005,2007,WD,Normal,7,2,1538,0,260000,PConc
Single Family Residential,1496,1496,8,2,474,Somerst,2007,2007,2007,New,Partial,7,2,1496,0,225000,PConc
Single Family Residential,1506,1494,7,2,672,Somerst,2005,2006,2007,WD,Normal,7,2,1506,0,249000,PConc
Single Family Residential,1694,1686,8,2,636,Somerst,2004,2005,2007,WD,Normal,7,2,1694,0,307000,PConc
Single Family Residential,1977,982,7,3,574,Somerst,2006,2006,2007,WD,Family,7,2,982,995,250000,PConc
Single Family Residential,1830,1302,8,3,859,Somerst,2006,2006,2007,WD,Normal,7,2,1302,528,221300,PConc
Single Family Residential,1338,1338,8,2,598,Somerst,2007,2007,2007,New,Partial,6,2,1338,0,208900,PConc
Single Family Residential,1335,1335,7,2,575,Somerst,2006,2007,2007,New,Partial,6,2,1335,0,210400,PConc
Single Family Residential,1792,896,8,2,590,Somerst,2007,2007,2007,New,Partial,8,2,896,896,255000,PConc
Single Family Residential,1588,725,5,2,561,Somerst,2007,2007,2007,New,Partial,8,3,725,863,212109,CBlock
Single Family Residential,1959,1088,8,3,1025,Somerst,2006,2006,2007,WD,Normal,8,2,1088,871,270000,PConc
Single Family Residential,2610,1184,8,2,550,Somerst,2007,2007,2007,New,Partial,11,2,1184,1426,303477,PConc
Single Family Residential,1880,955,8,3,880,Somerst,2007,2007,2007,New,Partial,8,2,955,925,310013,PConc
Single Family Residential,1656,1656,8,3,826,Somerst,2006,2006,2007,WD,Normal,7,2,1656,0,249700,PConc
Single Family Residential,1761,874,7,2,578,Somerst,2007,2007,2007,New,Partial,7,3,874,887,227875,PConc
Single Family Residential,1584,1574,8,2,594,Somerst,2007,2007,2007,New,Partial,6,2,1584,0,261329,PConc
Single Family Residential,1685,1685,8,3,658,Somerst,2006,2006,2007,WD,Normal,5,2,1685,0,253000,PConc
Single Family Residential,2443,1158,6,3,744,Somerst,2004,2004,2007,WD,Normal,9,2,1158,1285,265000,PConc
Single Family Residential,2466,1580,8,2,610,Somerst,2004,2005,2007,WD,Normal,8,3,1580,886,340000,PConc
Single Family Residential,1100,1100,6,0,0,SawyerW,2006,2007,2007,New,Partial,6,1,1100,0,146000,PConc
Single Family Residential,1143,1143,7,0,0,SawyerW,2006,2006,2007,WD,Normal,5,1,1143,0,147000,PConc
Single Family Residential,1094,1094,5,2,576,SawyerW,2003,2004,2007,WD,Normal,6,1,1094,0,149000,PConc
Single Family Residential,1486,1461,7,2,566,SawyerW,2006,2006,2007,WD,Normal,7,2,1486,0,181000,PConc
Single Family Residential,1721,928,6,2,471,SawyerW,1994,1994,2007,WD,Normal,7,2,936,785,201000,PConc
Single Family Residential,1820,864,6,2,492,SawyerW,1993,1997,2007,WD,Normal,7,2,920,900,191750,PConc
Single Family Residential,1349,1349,7,2,539,SawyerW,2000,2001,2007,WD,Normal,6,2,1349,0,179000,PConc
Single Family Residential,1494,1482,7,2,514,SawyerW,1998,1998,2007,WD,Normal,5,2,1494,0,215000,PConc
Townhouse End Unit,1575,1575,6,2,529,SawyerW,1992,1992,2007,WD,Normal,5,2,1575,0,179200,PConc
Townhouse End Unit,1266,630,6,1,283,SawyerW,1980,1980,2007,WD,Normal,5,1,630,636,128000,CBlock
Single Family Residential,884,840,5,2,504,SawyerW,1983,1983,2007,WD,Normal,5,1,884,0,144000,CBlock
Duplex,2020,0,5,2,630,SawyerW,1977,1977,2007,WD,Normal,10,2,2020,0,144000,Slab
Single Family Residential,894,894,5,1,308,Sawyer,1977,1977,2007,WD,Normal,5,1,894,0,120750,CBlock
Single Family Residential,970,970,5,2,624,Sawyer,1963,1963,2007,WD,Normal,5,1,970,0,132500,CBlock
Single Family Residential,1057,1057,5,2,576,Sawyer,1962,1962,2007,WD,Normal,6,1,1057,0,132000,CBlock
Single Family Residential,999,999,5,1,264,Sawyer,1962,2001,2007,WD,Normal,6,1,999,0,132500,CBlock
Single Family Residential,1120,1040,4,2,544,Sawyer,1961,1961,2007,WD,Normal,5,1,1120,0,129000,CBlock
Single Family Residential,1696,1140,5,1,349,Sawyer,1962,1962,2007,WD,Normal,8,1,1696,0,143900,CBlock
Single Family Residential,1040,1040,5,2,686,Sawyer,1968,1968,2007,WD,Normal,5,1,1040,0,145000,CBlock
Single Family Residential,988,988,5,2,572,Sawyer,1961,1961,2007,WD,Normal,5,1,988,0,128500,CBlock
Single Family Residential,902,876,5,1,288,Sawyer,1967,1967,2007,WD,Normal,6,1,902,0,125500,CBlock
Single Family Residential,2503,1223,7,2,564,Veenker,1990,1990,2007,WD,Normal,7,2,1271,1232,300000,PConc
Single Family Residential,2167,1192,7,2,518,Veenker,1974,2003,2007,WD,Normal,9,2,1516,651,294000,CBlock
Single Family Residential,1037,1037,5,2,431,Sawyer,1974,1974,2007,WD,Normal,5,1,1037,0,129000,CBlock
Single Family Residential,1701,1390,5,2,611,Sawyer,1975,1981,2007,WD,Normal,6,2,1701,0,171000,CBlock
Single Family Residential,1055,1044,6,2,542,Sawyer,1973,2006,2007,WD,Abnorml,5,1,1055,0,147000,CBlock
Single Family Residential,2810,1453,8,2,750,NoRidge,1990,1990,2007,WD,Normal,9,2,1453,1357,302000,PConc
Single Family Residential,2872,1683,8,2,541,NoRidge,1992,2000,2007,WD,Normal,9,2,2129,743,285000,PConc
Townhouse End Unit,1378,1378,8,2,540,Somerst,2004,2004,2007,WD,Normal,6,2,1378,0,214000,PConc
Townhouse End Unit,1151,1141,8,2,484,Somerst,2006,2007,2007,New,Partial,5,2,1151,0,166000,PConc
Townhouse End Unit,1565,1511,8,2,476,Somerst,2006,2007,2007,New,Partial,5,2,1565,0,193800,PConc
Townhouse End Unit,1352,1352,7,2,466,Somerst,2006,2007,2007,New,Partial,5,2,1352,0,208900,PConc
Townhouse End Unit,1352,1352,7,2,466,Somerst,2006,2007,2007,New,Partial,5,2,1352,0,194000,PConc
Townhouse End Unit,1550,1550,8,2,528,Somerst,2006,2007,2007,New,Partial,5,2,1550,0,207500,PConc
Townhouse End Unit,1241,1241,7,2,569,Somerst,2006,2007,2007,New,Partial,4,1,1241,0,199900,PConc
Townhouse End Unit,1250,625,7,2,528,Somerst,2006,2007,2007,New,Partial,5,2,625,625,164700,PConc
Twnhs,1501,744,6,2,440,Somerst,1999,1999,2007,WD,Normal,6,2,757,744,176500,PConc
Townhouse End Unit,1458,729,6,2,440,Somerst,1999,1999,2007,WD,Normal,5,2,729,729,176000,PConc
Townhouse End Unit,1512,756,6,2,440,Somerst,2000,2000,2007,WD,Normal,4,2,756,756,168500,PConc
